label,area_px,area_mm2,hull_area_px,hull_area_mm2,perimeter_px,perimeter_mm,hull_perimeter_px,hull_perimeter_mm,length_px,length_mm,width_px,width_mm,major_axis_px,major_axis_mm,minor_axis_px,minor_axis_mm,bbox_x,bbox_y,bbox_w_px,bbox_h_px,bbox_w_mm,bbox_h_mm,rot_rect_w_px,rot_rect_h_px,rot_rect_w_mm,rot_rect_h_mm,rot_rect_angle,solidity,convexity,circularity,elongation,aspect_ratio,eccentricity,extent,fill_ratio,equivalent_diameter_px,equivalent_diameter_mm,feret_max_px,feret_max_mm,feret_min_px,feret_min_mm,centroid_x,centroid_y,orientation_angle,hu_moments_0,hu_moments_1,hu_moments_2,hu_moments_3,hu_moments_4,hu_moments_5,hu_moments_6,zernike_moments_0,zernike_moments_1,zernike_moments_2,zernike_moments_3,zernike_moments_4
1,4782.0,,5027.0,,321.53910398483276,,304.9086525440216,,120.0,,49.0,,120.0,,49.0,,2637,2381,50,121,,,120.0,49.0,,,-90.0,0.9512631788342948,0.948278603645062,0.581235111402005,0.4083333333333333,2.4489795918367347,0.9499856359614799,0.7904132231404959,0.813265306122449,78.02968347317288,,153.6908416748047,,47.996665954589844,,2659.878886100655,2434.612052139969,3.3140158653259277,0.2227815453251119,0.034094673372941704,0.0007582611770469794,0.00017597874507838197,6.430400025314078e-08,3.2773290895247065e-05,1.6231478426153618e-10,1.0,0.4756635183735602,0.276197662968021,0.1806090796444999,0.12745721099318613
2,4282.5,,4483.5,,300.811182141304,,286.7111324071884,,113.01577758789062,,48.093238830566406,,113.01577758789062,,48.093238830566406,,2639,2269,50,113,,,113.01577758789062,48.093238830566406,,,-86.18592834472656,0.9551689528270324,0.9531265771646341,0.5947292286317901,0.42554446694989145,2.3499306833138816,0.9415314689108989,0.7579646017699115,0.7879057476829064,73.84205001439447,,139.3530731201172,,46.951541900634766,,2664.8360770577933,2332.227086981903,4.831145286560059,0.21441353426946094,0.028874353290269522,0.000999980906583751,0.00021193244583138664,9.690205324220073e-08,3.584931046889163e-05,-1.1688491992190172e-08,1.0,0.460453320740919,0.25790006155062917,0.16295806283922842,0.11159523772284843
3,5543.0,,5845.5,,355.5878748893738,,332.3570280075073,,138.4297332763672,,49.04874801635742,,138.4297332763672,,49.04874801635742,,2771,1602,117,112,,,49.04874801635742,138.4297332763672,,,-44.144901275634766,0.9482507912069112,0.9346691815937376,0.5508848835106311,0.35432234719714695,2.8222888223406195,0.9562149701637155,0.4230006105006105,0.8163710023952813,84.00932565178111,,166.07791137695312,,48.605228424072266,,2831.8495399603103,1658.378705875278,135.52671813964844,0.23682770532349676,0.04347071389866613,0.00032399435148993755,6.719331759178035e-05,9.668528370514195e-09,1.3280221996286506e-05,-2.1992795547424896e-09,1.0,0.4763065325264008,0.27935741138152514,0.18497389469990808,0.1321352045805549
4,2708.5,,2933.0,,220.97770488262177,,208.65811252593994,,68.822265625,,49.20650100708008,,68.822265625,,49.20650100708008,,1016,3208,69,76,,,49.20650100708008,68.822265625,,,-43.9583740234375,0.9234572110467099,0.9442496139453267,0.6970144581600203,0.7149793829107188,1.3986417285613848,0.7345483751315294,0.5164950419527079,0.7997926160841481,58.72452049114738,,77.37032318115234,,52.5001220703125,,1047.9370500276907,3247.034151744508,138.84803771972656,0.161862433755393,0.002316029003986465,0.0006042180448875619,1.6330278891936585e-05,5.612176110969736e-11,-4.638126600680193e-08,-1.6214299105293808e-09,1.0,0.5056308184383107,0.2945460922586052,0.1872537711205787,0.12670587550717097
5,2054.0,,2209.0,,188.16652011871338,,177.2109934091568,,53.62886047363281,,50.40119934082031,,53.62886047363281,,50.40119934082031,,1426,3310,54,62,,,50.40119934082031,53.62886047363281,,,-65.55604553222656,0.9298325033952014,0.9417774920711464,0.7289967575818302,0.9398148477460301,1.0640393715829375,0.6739138139209712,0.6135005973715651,0.759907969656082,51.13935886268055,,65.5538101196289,,48.43180847167969,,1448.7683382018824,3338.4240506329115,135.87435913085938,0.1581787830560335,0.0016640775259207667,0.00031891110369772343,4.0196297252896187e-07,-4.414144711648898e-12,9.947387874032353e-09,1.1094666522443337e-12,1.0,0.5346867937912807,0.32736054324698816,0.21745551826766163,0.15290149264510627
6,4162.5,,4365.5,,287.60512018203735,,272.08906972408295,,106.13409423828125,,49.40524673461914,,106.13409423828125,,49.40524673461914,,1049,3257,78,105,,,49.40524673461914,106.13409423828125,,,-35.53767776489258,0.9534990264574504,0.9460508545601217,0.632369454081866,0.46549835930855177,2.148235283762103,0.9167105672738967,0.5082417582417582,0.7938277124846809,72.80013464932682,,122.77354431152344,,49.054405212402344,,1093.024224224224,3307.6946546546546,148.68096923828125,0.19946676117606088,0.020801798764068017,0.0007226018636291422,9.180120819778876e-05,2.0758363113903028e-08,1.1293199143191663e-05,-1.133186564541678e-08,1.0,0.48055291894727376,0.27730855425185924,0.17929674871957743,0.1252132134891787
7,1826.0,,1959.5,,186.02438509464264,,176.8203001022339,,54.921165466308594,,49.43282699584961,,54.921165466308594,,49.43282699584961,,1457,3333,45,67,,,49.43282699584961,54.921165466308594,,,-60.524112701416016,0.9318703750956877,0.9505221587603903,0.663087562464518,0.9000687908958195,1.1110261905700798,0.6972670952274996,0.6056384742951907,0.6725825270235829,48.21758401959193,,67.39376068115234,,48.308616638183594,,1483.450620664476,3364.815261044176,138.79563903808594,0.16919417223711014,0.004752254342911603,0.0006647383461517893,2.117557444754175e-05,2.356290914940081e-09,4.0804160449406705e-07,8.729473760327149e-10,1.0,0.45763128780379586,0.24407311042632443,0.14365590977723344,0.09096423289167944
8,1362.0,,1544.0,,176.56854128837585,,168.30091905593872,,67.12203216552734,,30.695133209228516,,67.12203216552734,,30.695133209228516,,1500,3347,33,69,,,67.12203216552734,30.695133209228516,,,-87.83892059326172,0.8821243523316062,0.9531761310813898,0.5489847914544072,0.45730339530740516,2.186732069478267,0.7693793258702029,0.5981554677206851,0.6610624495351644,41.643153818236335,,64.46627044677734,,41.18054962158203,,1513.869554576603,3380.8992902594223,157.53594970703125,0.20633128429800873,0.0230288556499557,6.826720805907808e-05,6.353592319677545e-06,1.0906296659290361e-10,9.476571307291434e-07,7.493590587825886e-11,1.0,0.4578887149705218,0.25325782846089145,0.15770294087263367,0.10656437293747827
9,4009.0,,4178.0,,277.62236416339874,,259.9416079521179,,102.73889923095703,,49.0168571472168,,102.73889923095703,,49.0168571472168,,1525,3367,89,76,,,49.0168571472168,102.73889923095703,,,-62.04903030395508,0.9595500239348971,0.9363136458240282,0.6536375956148444,0.47710124903155626,2.0959911591718727,0.9209738036695266,0.5926966292134831,0.7960781173516238,71.44520512143042,,127.59500885009766,,49.714141845703125,,1565.4723954435851,3409.5409495302233,116.56155395507812,0.18899687621856875,0.01569872094876341,0.0005207482129678083,3.0028882502134498e-05,-3.7221907802177873e-09,-3.741970517288692e-06,-5.004532427446323e-10,1.0,0.4956497151062661,0.29179031949771783,0.19114394931918244,0.1346944022502612
10,4222.0,,4468.5,,296.67618572711945,,276.7973823547363,,111.66193389892578,,48.690738677978516,,111.66193389892578,,48.690738677978516,,682,3166,99,90,,,111.66193389892578,48.690738677978516,,,-41.72951126098633,0.9448360747454403,0.9329949475935777,0.6027853925725031,0.43605494708745085,2.2932889689231066,0.9390938137798949,0.4738496071829405,0.7765451659834794,73.31860171792597,,138.47422790527344,,47.58817672729492,,727.5884651823781,3210.883270172114,48.08015060424805,0.20637532637081205,0.024819902156979948,0.0005790342041730276,6.917119803102928e-05,1.1639550733170556e-08,8.182019099628987e-06,7.498904614213827e-09,1.0,0.48234024793918095,0.2811316648656113,0.18406702367482625,0.13018252018018553
