metric,count,mean,median,mode,min,max,range,variance,std_dev,cv,q1,q3,iqr,p5,p10,p90,p95,skewness,kurtosis,ci_95_lower,ci_95_upper,shapiro_stat,shapiro_p,is_normal,outliers
area_px,4,7311.25,6573.25,4369.5,4369.5,11729.0,7359.5,11026054.083333334,3320.5502681533576,45.416998025691335,4986.0,8898.5,3912.5,4492.8,4616.1,10596.800000000001,11162.899999999998,0.5414455812189557,-1.259325975420894,2027.5135338032615,12594.986466196739,0.9203601838156981,0.5389680110888913,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': -882.75, 'iqr_upper': 14767.25}"
perimeter_px,4,373.51071015000343,371.5548657178879,289.17871379852295,289.17871379852295,461.754395365715,172.57568156719208,8561.08182576606,92.52611429086417,24.772011023112377,295.9066353738308,449.1589404940605,153.25230512022972,290.5242981135845,291.86988242864606,456.7162134170532,459.2353043913841,0.011730580556989206,-1.971954726313419,226.28101486639406,520.7404054336128,0.796480053731118,0.09605561633110955,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 66.02817769348621, 'iqr_upper': 679.0373981744051}"
length_px,4,144.77297592163086,137.61962127685547,99.74246215820312,99.74246215820312,204.11019897460938,104.36773681640625,2114.5367156093903,45.98409198417851,31.76289752382435,114.19331741333008,168.19927978515625,54.00596237182617,102.63263320922852,105.5228042602539,189.74583129882814,196.92801513671873,0.40381989301277554,-1.3135490803127003,71.60202410319333,217.94392774006837,0.9570855147026694,0.7605679034869299,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 33.18437385559082, 'iqr_upper': 249.2082233428955}"
width_px,4,70.9330701828003,63.0019474029541,51.46821594238281,51.46821594238281,106.26016998291016,54.791954040527344,669.9994087269624,25.884346789651897,36.4912257751509,51.611578941345215,82.32343864440918,30.711859703063965,51.49688854217529,51.52556114196777,96.68547744750977,101.47282371520996,0.6567994514365503,-1.1790576917508835,29.745298280095355,112.12084208550523,0.8539502047491329,0.23921178409418578,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 5.543789386749268, 'iqr_upper': 128.39122819900513}"
major_axis_px,4,144.77297592163086,137.61962127685547,99.74246215820312,99.74246215820312,204.11019897460938,104.36773681640625,2114.5367156093903,45.98409198417851,31.76289752382435,114.19331741333008,168.19927978515625,54.00596237182617,102.63263320922852,105.5228042602539,189.74583129882814,196.92801513671873,0.40381989301277554,-1.3135490803127003,71.60202410319333,217.94392774006837,0.9570855147026694,0.7605679034869299,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 33.18437385559082, 'iqr_upper': 249.2082233428955}"
minor_axis_px,4,70.9330701828003,63.0019474029541,51.46821594238281,51.46821594238281,106.26016998291016,54.791954040527344,669.9994087269624,25.884346789651897,36.4912257751509,51.611578941345215,82.32343864440918,30.711859703063965,51.49688854217529,51.52556114196777,96.68547744750977,101.47282371520996,0.6567994514365503,-1.1790576917508835,29.745298280095355,112.12084208550523,0.8539502047491329,0.23921178409418578,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 5.543789386749268, 'iqr_upper': 128.39122819900513}"
equivalent_diameter_px,4,94.68386793133453,90.97154835805739,74.58833816837786,74.58833816837786,122.2040368408455,47.615698672467644,458.583700008744,21.414567471904352,22.616912405220244,79.62362094567422,106.03179534371772,26.4081743980435,75.59539472383713,76.6024512792964,115.7351402419944,118.96958854141994,0.4132059567980789,-1.3726891117616056,60.60851236622919,128.75922349643986,0.9389638595692914,0.648018625881501,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 40.01135934860897, 'iqr_upper': 145.64405694078297}"
feret_max_px,4,148.18856239318848,138.81110000610352,101.2445068359375,101.2445068359375,213.88754272460938,112.64303588867188,2417.6434106939073,49.169537426072125,33.1803862808323,116.9037036895752,170.0959587097168,53.1922550201416,104.37634620666503,107.50818557739258,196.37090911865235,205.12922592163085,0.5271571651194383,-1.1787398588442206,69.94885603613237,226.42826875024457,0.9490694288752239,0.7103085763884788,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 37.11532115936279, 'iqr_upper': 249.8843412399292}"
feret_min_px,4,69.31253051757812,60.23722839355469,48.82903289794922,48.82903289794922,107.9466323852539,59.11759948730469,744.8067188701438,27.29114726188959,39.37404544041048,50.728946685791016,78.8208122253418,28.09186553955078,49.209015655517575,49.58899841308594,96.29630432128907,102.12146835327147,0.8196698233852867,-0.9908804874606658,25.88622513230107,112.73883590285519,0.8500550466252422,0.22633845655107368,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 8.591148376464844, 'iqr_upper': 120.95861053466797}"
solidity,4,0.9870664496762183,0.9867955815334886,0.9852613326727768,0.9852613326727768,0.9894133029651188,0.004151970292341933,3.263171856958552e-06,0.001806425159523237,0.183009478248986,0.985915485129444,0.9879465460802628,0.0020310609508187305,0.9853921631641103,0.9855229936554437,0.9888266002111763,0.9891199515881476,0.4108341512999866,-1.2581096039477586,0.9841920241388701,0.9899408752135664,0.9651050807618439,0.8109773516032701,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 0.982868893703216, 'iqr_upper': 0.9909931375064909}"
convexity,4,0.9579460322564741,0.9592003471464181,0.9490291134665565,0.9490291134665565,0.9643543212665039,0.015325207799947393,4.280008140397418e-05,0.006542177114995755,0.6829379625473719,0.9555107468145799,0.9616356325883124,0.006124885773732491,0.9503254401361612,0.9516217668057658,0.9632668457952273,0.9638105835308656,-0.5832365870579337,-1.0424072108776488,0.9475359685624092,0.9683560959505391,0.9494284587804971,0.7125481758964123,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 0.9463234181539812, 'iqr_upper': 0.9708229612489112}"
circularity,4,0.6509475186978289,0.6952546902545598,0.46884357817295075,0.46884357817295075,0.7444371161092452,0.2755935379362945,0.01627162704754385,0.12756028789377927,19.59609403672879,0.6096700632001748,0.7365321457522138,0.126862082552039,0.4970088751783956,0.5251741721838404,0.7412751279664327,0.7428561220378389,-0.8624494541498682,-0.9462856875214447,0.44797063524358693,0.8539244021520708,0.8380532387184675,0.1897869650540571,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 0.4193769393721163, 'iqr_upper': 0.9268252695802723}"
elongation,4,0.5277714152367543,0.5563126564986525,0.25309546934542093,0.25309546934542093,0.7453648786042912,0.4922694092588703,0.05169921615100173,0.22737461632953168,43.0820256204162,0.3876253895000136,0.6964586822353932,0.3088332927353796,0.28000145337633947,0.306907437407258,0.725802400056732,0.7355836393305116,-0.25369771301654637,-1.5773299859422836,0.16596766141014496,0.8895751690633636,0.9286694405870797,0.5866011543733634,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': -0.07562454960305587, 'iqr_upper': 1.1597086213384626}"
aspect_ratio,4,2.2688146811665564,1.8912778495898321,1.3416247917027126,1.3416247917027126,3.9510782337838486,2.609453442081136,1.4430964761431095,1.2012895055493948,52.947890170197944,1.4380934048099572,2.7219991259464313,1.2839057211364742,1.3609185143241616,1.3802122369456105,3.459446590648882,3.7052624122163644,0.7670062102829703,-1.0462448367684392,0.3572950069106744,4.180334355422438,0.863472945815526,0.2728367252022987,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': -0.4877651768947542, 'iqr_upper': 4.647857707651143}"
eccentricity,4,0.8344700199647451,0.8236775291921947,0.7197859424872048,0.7197859424872048,0.9707390789873864,0.2509531365001816,0.016406430847417875,0.12808759052858273,15.349573677193845,0.7280219174809386,0.9301256316760013,0.20210371419506268,0.7214331374859516,0.7230803324846984,0.9544937000628324,0.9626163895251094,0.08435183767970408,-1.8789765800463554,0.6306540803495548,1.0382859595799354,0.8403892747725064,0.19654001729460394,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': 0.42486634618834457, 'iqr_upper': 1.2332812029685953}"
extent,4,0.5697379885573829,0.6320750501506898,0.3494399297166703,0.3494399297166703,0.6653619242114818,0.31592199449481145,0.021908870511728986,0.14801645351692827,25.97974094929433,0.5525481544721783,0.6492648842358943,0.09671672976371604,0.3900615746677719,0.4306832196188735,0.6589231082212468,0.6621425162163642,-1.1014762456608838,-0.7077234393732676,0.3342107807493099,0.8052651963654559,0.7434663597477515,0.033488340843655214,False,"{'iqr_outliers': [2], 'zscore_outliers': [], 'iqr_lower': 0.40747305982660426, 'iqr_upper': 0.7943399788814685}"
fill_ratio,4,0.7186087969372275,0.709943150775409,0.7001059425776064,0.7001059425776064,0.7544429436204855,0.054337001042879085,0.000599988546990063,0.024494663643129765,3.4086228484160133,0.7049219039338912,0.7236300437787453,0.018708139844854088,0.7010691348488634,0.7020323271201203,0.7421177836837893,0.7482803636521375,0.9892291481962143,-0.7923236999351677,0.6796323210321047,0.7575852728423502,0.8226439682584494,0.14941908538083992,True,"{'iqr_outliers': [2], 'zscore_outliers': [], 'iqr_lower': 0.6768596941666101, 'iqr_upper': 0.7516922535460264}"
orientation_angle,4,102.46445274353027,102.58460426330566,41.251224517822266,41.251224517822266,163.4373779296875,122.18615341186523,4544.448350538932,67.41252369210733,65.79113232648758,45.59904098510742,159.45001602172852,113.8509750366211,42.1207878112793,42.99035110473633,161.8424331665039,162.6399055480957,-0.0005870004517978903,-1.9909441018860679,-4.803915733368413,209.73282122042895,0.7698711722545526,0.05825347251667397,True,"{'iqr_outliers': [], 'zscore_outliers': [], 'iqr_lower': -125.17742156982422, 'iqr_upper': 330.22647857666016}"
