label,area_px,area_mm2,hull_area_px,hull_area_mm2,perimeter_px,perimeter_mm,hull_perimeter_px,hull_perimeter_mm,length_px,length_mm,width_px,width_mm,major_axis_px,major_axis_mm,minor_axis_px,minor_axis_mm,bbox_x,bbox_y,bbox_w_px,bbox_h_px,bbox_w_mm,bbox_h_mm,rot_rect_w_px,rot_rect_h_px,rot_rect_w_mm,rot_rect_h_mm,rot_rect_angle,solidity,convexity,circularity,elongation,aspect_ratio,eccentricity,extent,fill_ratio,equivalent_diameter_px,equivalent_diameter_mm,feret_max_px,feret_max_mm,feret_min_px,feret_min_mm,centroid_x,centroid_y,orientation_angle,hu_moments_0,hu_moments_1,hu_moments_2,hu_moments_3,hu_moments_4,hu_moments_5,hu_moments_6,zernike_moments_0,zernike_moments_1,zernike_moments_2,zernike_moments_3,zernike_moments_4
1,67.0,6.7e-05,75.0,7.5e-05,42.28427076339722,0.04228427076339722,40.20911180973053,0.04020911180973053,17.3648624420166,0.017364862442016602,4.8373541831970215,0.004837354183197021,17.3648624420166,0.017364862442016602,4.8373541831970215,0.004837354183197021,90,367,17,12,0.017,0.012,4.8373541831970215,17.3648624420166,0.004837354183197021,0.017364862442016602,-60.25511932373047,0.8933333333333333,0.9509236196769646,0.47089814156148174,0.27857140817265547,3.589743852607483,0.9793191380518942,0.3284313725490196,0.7976191428155583,9.23618154310838,0.009236181543108379,22.768413543701172,0.022768413543701172,4.606541633605957,0.004606541633605957,98.05970149253731,372.2910447761194,119.61306762695312,0.30620829803829075,0.09609175345711969,4.663175133636883e-05,4.8959952291993566e-06,-6.395005489629688e-11,-1.3425754202098474e-06,-3.7192695709608134e-11,1.0,0.5271560004297642,0.3468242595752261,0.2570885315841892,0.20429425867567266
2,62.0,6.2e-05,63.5,6.35e-05,30.14213526248932,0.03014213526248932,29.607698678970337,0.029607698678970337,10.0,0.01,8.0,0.008,10.0,0.01,8.0,0.008,12,397,11,9,0.011,0.009,8.0,10.0,0.008,0.01,-90.0,0.9763779527559056,0.9822694517536696,0.8575382976318751,0.8,1.25,0.5511943743803066,0.6262626262626263,0.775,8.884866446580956,0.008884866446580956,10.367128372192383,0.010367128372192383,8.650092124938965,0.008650092124938965,17.276881720430104,401.44086021505376,103.47913360595703,0.15534589612971875,0.0013419794118379549,0.0004667897680209661,3.9377899336477435e-06,-7.845551906146595e-11,-6.499046095060028e-08,1.495118428650084e-10,1.0,0.6042082989556272,0.4144179138581051,0.3060583234412771,0.2375485926001776
3,61.5,6.15e-05,70.5,7.05e-05,39.21320307254791,0.039213203072547914,36.85453534126282,0.03685453534126282,14.758047103881836,0.014758047103881835,5.81377649307251,0.00581377649307251,14.758047103881836,0.014758047103881835,5.81377649307251,0.00581377649307251,3,634,16,10,0.016,0.01,14.758047103881836,5.81377649307251,0.014758047103881835,0.00581377649307251,-26.565052032470703,0.8723404255319149,0.9398501640653698,0.5025975218507402,0.39393941841690566,2.538461380733677,0.9424002371214837,0.384375,0.7167833225780539,8.848967849484623,0.008848967849484623,16.840164184570312,0.01684016418457031,5.632822036743164,0.005632822036743164,10.794037940379402,639.1327913279132,66.39891052246094,0.24547036527544952,0.046935277213408795,0.0013094506572387341,0.0003872299461797658,2.709499869757518e-07,8.141258651543112e-05,-5.207696308798737e-08,1.0,0.491267680485558,0.29513669605230824,0.1995703658001113,0.14557335532561505
