metric,count,mean,median,mode,min,max,range,variance,std_dev,cv,q1,q3,iqr,p5,p10,p90,p95,skewness,kurtosis,ci_95_lower,ci_95_upper,shapiro_stat,shapiro_p,is_normal,outliers
area_px,1,12435.0,12435.0,12435.0,12435.0,12435.0,0.0,0.0,0.0,0.0,12435.0,12435.0,0.0,12435.0,12435.0,12435.0,12435.0,0.0,0.0,12435.0,12435.0,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
perimeter_px,1,486.8427107334137,486.8427107334137,486.8427107334137,486.8427107334137,486.8427107334137,0.0,0.0,0.0,0.0,486.8427107334137,486.8427107334137,0.0,486.8427107334137,486.8427107334137,486.8427107334137,486.8427107334137,0.0,0.0,486.8427107334137,486.8427107334137,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
length_px,1,164.6378936767578,164.6378936767578,164.6378936767578,164.6378936767578,164.6378936767578,0.0,0.0,0.0,0.0,164.6378936767578,164.6378936767578,0.0,164.6378936767578,164.6378936767578,164.6378936767578,164.6378936767578,0.0,0.0,164.6378936767578,164.6378936767578,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
width_px,1,109.02413177490234,109.02413177490234,109.02413177490234,109.02413177490234,109.02413177490234,0.0,0.0,0.0,0.0,109.02413177490234,109.02413177490234,0.0,109.02413177490234,109.02413177490234,109.02413177490234,109.02413177490234,0.0,0.0,109.02413177490234,109.02413177490234,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
major_axis_px,1,164.6378936767578,164.6378936767578,164.6378936767578,164.6378936767578,164.6378936767578,0.0,0.0,0.0,0.0,164.6378936767578,164.6378936767578,0.0,164.6378936767578,164.6378936767578,164.6378936767578,164.6378936767578,0.0,0.0,164.6378936767578,164.6378936767578,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
minor_axis_px,1,109.02413177490234,109.02413177490234,109.02413177490234,109.02413177490234,109.02413177490234,0.0,0.0,0.0,0.0,109.02413177490234,109.02413177490234,0.0,109.02413177490234,109.02413177490234,109.02413177490234,109.02413177490234,0.0,0.0,109.02413177490234,109.02413177490234,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
equivalent_diameter_px,1,125.8281913514684,125.8281913514684,125.8281913514684,125.8281913514684,125.8281913514684,0.0,0.0,0.0,0.0,125.8281913514684,125.8281913514684,0.0,125.8281913514684,125.8281913514684,125.8281913514684,125.8281913514684,0.0,0.0,125.8281913514684,125.8281913514684,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
feret_max_px,1,176.11485290527344,176.11485290527344,176.11485290527344,176.11485290527344,176.11485290527344,0.0,0.0,0.0,0.0,176.11485290527344,176.11485290527344,0.0,176.11485290527344,176.11485290527344,176.11485290527344,176.11485290527344,0.0,0.0,176.11485290527344,176.11485290527344,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
feret_min_px,1,107.79299926757812,107.79299926757812,107.79299926757812,107.79299926757812,107.79299926757812,0.0,0.0,0.0,0.0,107.79299926757812,107.79299926757812,0.0,107.79299926757812,107.79299926757812,107.79299926757812,107.79299926757812,0.0,0.0,107.79299926757812,107.79299926757812,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
solidity,1,0.9878455672068637,0.9878455672068637,0.9878455672068637,0.9878455672068637,0.9878455672068637,0.0,0.0,0.0,0.0,0.9878455672068637,0.9878455672068637,0.0,0.9878455672068637,0.9878455672068637,0.9878455672068637,0.9878455672068637,0.0,0.0,0.9878455672068637,0.9878455672068637,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
convexity,1,0.9548554064330999,0.9548554064330999,0.9548554064330999,0.9548554064330999,0.9548554064330999,0.0,0.0,0.0,0.0,0.9548554064330999,0.9548554064330999,0.0,0.9548554064330999,0.9548554064330999,0.9548554064330999,0.9548554064330999,0.0,0.0,0.9548554064330999,0.9548554064330999,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
circularity,1,0.6592927649170336,0.6592927649170336,0.6592927649170336,0.6592927649170336,0.6592927649170336,0.0,0.0,0.0,0.0,0.6592927649170336,0.6592927649170336,0.0,0.6592927649170336,0.6592927649170336,0.6592927649170336,0.6592927649170336,0.0,0.0,0.6592927649170336,0.6592927649170336,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
elongation,1,0.6622055794090461,0.6622055794090461,0.6622055794090461,0.6622055794090461,0.6622055794090461,0.0,0.0,0.0,0.0,0.6622055794090461,0.6622055794090461,0.0,0.6622055794090461,0.6622055794090461,0.6622055794090461,0.6622055794090461,0.0,0.0,0.6622055794090461,0.6622055794090461,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
aspect_ratio,1,1.5101050656993895,1.5101050656993895,1.5101050656993895,1.5101050656993895,1.5101050656993895,0.0,0.0,0.0,0.0,1.5101050656993895,1.5101050656993895,0.0,1.5101050656993895,1.5101050656993895,1.5101050656993895,1.5101050656993895,0.0,0.0,1.5101050656993895,1.5101050656993895,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
eccentricity,1,0.790810702148226,0.790810702148226,0.790810702148226,0.790810702148226,0.790810702148226,0.0,0.0,0.0,0.0,0.790810702148226,0.790810702148226,0.0,0.790810702148226,0.790810702148226,0.790810702148226,0.790810702148226,0.0,0.0,0.790810702148226,0.790810702148226,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
extent,1,0.5384282312188785,0.5384282312188785,0.5384282312188785,0.5384282312188785,0.5384282312188785,0.0,0.0,0.0,0.0,0.5384282312188785,0.5384282312188785,0.0,0.5384282312188785,0.5384282312188785,0.5384282312188785,0.5384282312188785,0.0,0.0,0.5384282312188785,0.5384282312188785,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
fill_ratio,1,0.6927768257566883,0.6927768257566883,0.6927768257566883,0.6927768257566883,0.6927768257566883,0.0,0.0,0.0,0.0,0.6927768257566883,0.6927768257566883,0.0,0.6927768257566883,0.6927768257566883,0.6927768257566883,0.6927768257566883,0.0,0.0,0.6927768257566883,0.6927768257566883,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
orientation_angle,1,29.76410675048828,29.76410675048828,29.76410675048828,29.76410675048828,29.76410675048828,0.0,0.0,0.0,0.0,29.76410675048828,29.76410675048828,0.0,29.76410675048828,29.76410675048828,29.76410675048828,29.76410675048828,0.0,0.0,29.76410675048828,29.76410675048828,,,,"{'iqr_outliers': [], 'zscore_outliers': []}"
