label,area_px,area_mm2,hull_area_px,hull_area_mm2,perimeter_px,perimeter_mm,hull_perimeter_px,hull_perimeter_mm,length_px,length_mm,width_px,width_mm,major_axis_px,major_axis_mm,minor_axis_px,minor_axis_mm,bbox_x,bbox_y,bbox_w_px,bbox_h_px,bbox_w_mm,bbox_h_mm,rot_rect_w_px,rot_rect_h_px,rot_rect_w_mm,rot_rect_h_mm,rot_rect_angle,solidity,convexity,circularity,elongation,aspect_ratio,eccentricity,extent,fill_ratio,equivalent_diameter_px,equivalent_diameter_mm,feret_max_px,feret_max_mm,feret_min_px,feret_min_mm,centroid_x,centroid_y,orientation_angle,hu_moments_0,hu_moments_1,hu_moments_2,hu_moments_3,hu_moments_4,hu_moments_5,hu_moments_6,zernike_moments_0,zernike_moments_1,zernike_moments_2,zernike_moments_3,zernike_moments_4
1,2876.5,,2916.0,,227.5807341337204,,218.06399035453796,,93.28718566894531,,40.47714614868164,,93.28718566894531,,40.47714614868164,,305,178,91,45,,,40.47714614868164,93.28718566894531,,,-71.56504821777344,0.9864540466392319,0.9581829990336939,0.6979161598733278,0.43389824506364344,2.3046878188071993,0.9045351893420495,0.7024420024420024,0.7617851496629267,60.51837365982909,,92.96247100830078,,39.639102935791016,,349.9917144678139,199.9590358653456,104.88187408447266,0.19996162732520228,0.023372546735915087,9.230741986264764e-07,1.9880028120136768e-07,8.004998030110975e-14,2.482412415594614e-08,2.9060347296360217e-14,1.0,0.49697517715875233,0.29765622673763825,0.20046909878440217,0.146122504425089
2,2159.0,,2186.5,,199.4802290201187,,192.1409080028534,,83.18172454833984,,33.541019439697266,,83.18172454833984,,33.541019439697266,,114,175,73,51,,,33.541019439697266,83.18172454833984,,,-63.4349479675293,0.9874228218614224,0.9632077772653594,0.6818090947522232,0.4032258242037936,2.4799998908169925,0.9187925198367571,0.5799086757990868,0.773835169796991,52.43018383606161,,83.98715209960938,,33.15315628051758,,150.0074108383511,199.9349235757295,120.08830261230469,0.20719350224563063,0.027266771545903058,1.140614354777702e-06,8.291470884858459e-08,-2.4690223219834353e-14,-1.351141902496032e-08,6.369715817491749e-15,1.0,0.49248745264392485,0.2941387126236227,0.19809380587879158,0.14449424014290269
3,824.5,,964.5,,130.61017215251923,,122.8037519454956,,42.42640686035156,,26.870054244995117,,42.42640686035156,,26.870054244995117,,236,173,42,42,,,42.42640686035156,26.870054244995117,,,-45.0,0.8548470710212546,0.9402311467907131,0.6073604668545444,0.6333332524113842,1.57894757016555,0.875594992654035,0.4674036281179138,0.7232457068148999,32.40040130359718,,54.24042510986328,,26.200618743896484,,260.3612290276935,189.7703658783101,45.671966552734375,0.16923975814138792,0.0035139858795131115,0.0010261184352671456,1.451817527865738e-06,-4.6332882388746977e-11,8.032541376768366e-08,3.154220932472809e-11,1.0,0.4747867213792413,0.2634232714004108,0.16171078100444847,0.10696807963830883
4,719.0,,730.0,,102.91168749332428,,100.492511510849,,35.35533905029297,,26.870054244995117,,35.35533905029297,,26.870054244995117,,223,196,32,32,,,35.35533905029297,26.870054244995117,,,-45.0,0.9849315068493151,0.9764926993094715,0.8531184909840172,0.759999902893661,1.315789641804625,0.7647160074768377,0.7021484375,0.7568422023528145,30.256556854086718,,39.30216598510742,,25.325037002563477,,238.2357440890125,211.86787204450627,43.7088508605957,0.15751661846983905,0.002834460479529447,0.00028865268662105995,8.509024255058022e-06,4.192800057155436e-10,4.5091017889847015e-07,-4.545605619974932e-11,1.0,0.5483729537564321,0.343645724124973,0.23311285947037616,0.16700074021217717
5,521.0,,541.0,,94.7695517539978,,91.8218445777893,,29.0,,26.0,,29.0,,26.0,,432,173,30,27,,,26.0,29.0,,,-90.0,0.9630314232902033,0.9688960523538178,0.728970467652432,0.896551724137931,1.1153846153846154,0.7960169919740321,0.6432098765432098,0.6909814323607427,25.75573339679963,,37.44572830200195,,22.664936065673828,,443.63115802943054,187.24120281509914,134.680908203125,0.16612699767074415,0.004148967741642506,0.0009557499472072546,2.4686442680149536e-05,3.0979665443996175e-10,-7.156881488179652e-07,3.780229972269388e-09,1.0,0.4706811183787146,0.2574337493913023,0.1551711099336725,0.10058824526317035
6,601.0,,622.0,,102.42640674114227,,98.99906754493713,,37.11872863769531,,23.702320098876953,,37.11872863769531,,23.702320098876953,,437,198,32,30,,,23.702320098876953,37.11872863769531,,,-26.565052032470703,0.9662379421221865,0.9665385196527796,0.7198805857303748,0.6385542007709405,1.5660377753253802,0.8393404679985856,0.6260416666666667,0.6831098071274271,27.66255531193445,,42.18907928466797,,22.934240341186523,,455.40210759844695,211.2002218524681,141.28189086914062,0.16906862510742496,0.005956123566029425,0.0007520481746891227,2.0833147582851744e-05,-1.4798015518815547e-09,-1.4197468886526425e-06,2.147784855321609e-09,1.0,0.4696284903961968,0.25732734978343913,0.15585977377526447,0.10171251655409955
