label,area_px,area_mm2,hull_area_px,hull_area_mm2,perimeter_px,perimeter_mm,hull_perimeter_px,hull_perimeter_mm,length_px,length_mm,width_px,width_mm,major_axis_px,major_axis_mm,minor_axis_px,minor_axis_mm,bbox_x,bbox_y,bbox_w_px,bbox_h_px,bbox_w_mm,bbox_h_mm,rot_rect_w_px,rot_rect_h_px,rot_rect_w_mm,rot_rect_h_mm,rot_rect_angle,solidity,convexity,circularity,elongation,aspect_ratio,eccentricity,extent,fill_ratio,equivalent_diameter_px,equivalent_diameter_mm,feret_max_px,feret_max_mm,feret_min_px,feret_min_mm,centroid_x,centroid_y,orientation_angle,hu_moments_0,hu_moments_1,hu_moments_2,hu_moments_3,hu_moments_4,hu_moments_5,hu_moments_6,zernike_moments_0,zernike_moments_1,zernike_moments_2,zernike_moments_3,zernike_moments_4
1,2784.0,21.750000000000004,2822.0,22.046875000000004,226.50966656208038,20.020815153793855,217.256902217865,19.20297860222938,93.70742797851562,8.282644721394801,38.798160552978516,3.4293053030719403,93.70742797851562,8.282644721394801,38.798160552978516,3.4293053030719403,404,240,93,41,8.220116331293616,3.6239222535810565,93.70742797851562,38.798160552978516,8.282644721394801,3.4293053030719403,-9.462321281433105,0.9865343727852587,0.9591506866587548,0.6818763275007876,0.41403505986605244,2.4152543997687475,0.9135603353526761,0.7301337529504327,0.765744836943327,59.53737391372493,5.262410103554245,93.51720428466797,8.265831163412049,38.033748626708984,3.3617401959863082,450.0702227011494,260.02819683908046,79.86258697509766,0.20613526802978496,0.026695152281750345,4.2758744587420087e-07,1.3300790023139024e-07,3.158231144490329e-14,2.1447297535734742e-08,-2.948785957472653e-15,1.0,0.49447566288754385,0.2962617592109282,0.20012277373520893,0.1464288501605595
2,1024.0,8.000000000000002,1058.0,8.265625000000002,132.91168761253357,11.747844451221317,127.82579612731934,11.298310906524579,39.04742431640625,3.451337315249919,37.52949523925781,3.3171700722734316,39.04742431640625,3.451337315249919,37.52949523925781,3.3171700722734316,210,228,39,40,3.4471455582844195,3.5355339059327378,37.52949523925781,39.04742431640625,3.3171700722734316,3.451337315249919,-83.99099731445312,0.9678638941398866,0.9617348061967228,0.728422707623467,0.9611260126955247,1.0404462961058054,0.7779330834030477,0.6564102564102564,0.698770949593036,36.1081333470564,3.1915382432114616,51.46860885620117,4.549225292557231,32.340152740478516,2.8584926634251335,231.40201822916666,243.94156901041666,118.81800079345703,0.16172124155364054,0.002243487738442856,0.0009470625742643685,1.590057460616618e-05,5.950726630577017e-10,-3.0505032857834813e-07,-1.8587853831513156e-09,1.0,0.47155661493103457,0.25655567936862544,0.15276437591750797,0.09721165814751764
3,1196.0,9.343750000000002,1235.0,9.648437500000002,142.56854224205017,12.601397875404304,136.83945870399475,12.095013647936405,44.97199630737305,3.975000444054982,37.193817138671875,3.2875000396209146,44.97199630737305,3.975000444054982,37.193817138671875,3.2875000396209146,247,232,44,41,3.8890872965260117,3.6239222535810565,37.193817138671875,44.97199630737305,3.2875000396209146,3.975000444054982,-81.8698959350586,0.968421052631579,0.959815233795905,0.7394241413955868,0.8270439427340708,1.2091255957865614,0.8166820058922802,0.6629711751662971,0.7150201185991052,39.022999570807656,3.4491784523447286,57.61625289916992,5.092605391445267,33.2496452331543,2.9388812020512964,265.8188405797101,255.01142697881826,116.11405944824219,0.1634693924545707,0.003562666084996852,0.0007305141887909806,1.0428815721122696e-05,-7.467279561263347e-10,-6.208965873313798e-07,-5.208565039137805e-10,1.0,0.48870548431302324,0.2759792251337535,0.17063547914388874,0.11266802219765737
4,1846.5,14.425781250000004,1875.5,14.652343750000004,181.43859958648682,16.037058017074443,173.8922095298767,15.370045069260977,74.21589660644531,6.559820470282146,32.7423095703125,2.8940386411096455,74.21589660644531,6.559820470282146,32.7423095703125,2.8940386411096455,614,262,73,37,6.452349378327247,3.2703688629877825,32.7423095703125,74.21589660644531,2.8940386411096455,6.559820470282146,-75.96375274658203,0.9845374566782191,0.9584080230237174,0.7048550338204099,0.4411765008235308,2.266666511324448,0.901087700039299,0.6836356904850055,0.7598765864488752,48.4874913699758,4.285729243804261,73.7274169921875,6.5166445643180095,31.970928192138672,2.8258575156861783,650.1748352739417,279.96515931040705,105.43795776367188,0.197277770129018,0.021959990869823916,1.567330000032684e-06,4.2084325142524775e-07,3.4169088079806836e-13,6.266462338017987e-08,8.287123211589822e-15,1.0,0.4986486024670626,0.2986495497431318,0.20071554656643262,0.14584343745259748
