label,area_px,area_mm2,hull_area_px,hull_area_mm2,perimeter_px,perimeter_mm,hull_perimeter_px,hull_perimeter_mm,length_px,length_mm,width_px,width_mm,major_axis_px,major_axis_mm,minor_axis_px,minor_axis_mm,bbox_x,bbox_y,bbox_w_px,bbox_h_px,bbox_w_mm,bbox_h_mm,rot_rect_w_px,rot_rect_h_px,rot_rect_w_mm,rot_rect_h_mm,rot_rect_angle,solidity,convexity,circularity,elongation,aspect_ratio,eccentricity,extent,fill_ratio,equivalent_diameter_px,equivalent_diameter_mm,feret_max_px,feret_max_mm,feret_min_px,feret_min_mm,centroid_x,centroid_y,orientation_angle,hu_moments_0,hu_moments_1,hu_moments_2,hu_moments_3,hu_moments_4,hu_moments_5,hu_moments_6,zernike_moments_0,zernike_moments_1,zernike_moments_2,zernike_moments_3,zernike_moments_4
1,8277.5,0.3678888888888889,9643.0,0.4285777777777778,470.0071394443512,3.133380929629008,377.00606322288513,2.5133737548192343,131.25088500976562,0.8750059000651041,92.67391204833984,0.6178260803222656,131.25088500976562,0.8750059000651041,92.67391204833984,0.6178260803222656,1663,1984,98,130,0.6533333333333333,0.8666666666666667,92.67391204833984,131.25088500976562,0.6178260803222656,0.8750059000651041,-5.11731481552124,0.8583946904490304,0.8021283754723105,0.47086904797462303,0.7060821878758723,1.416265722561745,0.6611779288399413,0.6497252747252747,0.6805177424950154,102.66080231298268,0.6844053487532179,122.89214324951172,0.8192809549967448,92.197265625,0.6146484375,1719.9487163998792,2044.0884727675425,153.30369567871094,0.17358481265437592,0.003176298667727301,0.0012339313795986728,4.130000931937364e-05,8.686995496936542e-09,1.700849819750746e-06,3.394038833087847e-09,1.0,0.4994615492762614,0.29064384912578184,0.18590572563311597,0.12710648239626546
2,4258.5,0.18926666666666667,4453.5,0.19793333333333332,288.95331728458405,1.9263554485638936,275.07578456401825,1.8338385637601216,103.661865234375,0.6910791015625,48.507530212402344,0.32338353474934894,103.661865234375,0.6910791015625,48.507530212402344,0.32338353474934894,1861,2498,102,58,0.68,0.38666666666666666,48.507530212402344,103.661865234375,0.32338353474934894,0.6910791015625,-81.8698959350586,0.9562142135399124,0.9519730977620232,0.6409308060265763,0.46793997100793927,2.137026246862407,0.9110016154806885,0.7198275862068966,0.846892856650029,73.63484637897122,0.49089897585980813,123.2720718383789,0.8218138122558594,50.837745666503906,0.33891830444335935,1907.6937888928026,2527.1149465774333,96.40873718261719,0.19383224293101345,0.018092920228101914,0.00028999080044832406,2.3331468052190854e-05,-5.147026744733528e-10,-1.0004189208442814e-06,1.8490045787224399e-09,1.0,0.5063066328933779,0.30524223653795607,0.20462517353251544,0.14720292968944543
3,5205.0,0.23133333333333334,5670.0,0.252,367.1614679098129,2.4477431193987527,340.31302547454834,2.2687535031636554,147.85165405273438,0.9856776936848959,49.25938034057617,0.3283958689371745,147.85165405273438,0.9856776936848959,49.25938034057617,0.3283958689371745,852,2211,99,127,0.66,0.8466666666666667,147.85165405273438,49.25938034057617,0.9856776936848959,0.3283958689371745,-53.972625732421875,0.917989417989418,0.926875653406366,0.4851950962162372,0.3331675973202626,3.001492366134076,0.9652722986742773,0.41398234311620136,0.7146700825327597,81.40768901244232,0.5427179267496155,184.247802734375,1.2283186848958334,48.13397216796875,0.32089314778645833,909.7239513288504,2280.4381364073006,34.29517364501953,0.2404775889353505,0.043948308160842615,0.0017813690644328266,0.0003233746540679103,1.7631637404958609e-07,3.469961116502838e-05,1.7097848813483458e-07,1.0,0.4398892574186589,0.24064645430162265,0.15045270314499407,0.10271752013013716
4,3433.5,0.1526,3553.0,0.1579111111111111,247.63960897922516,1.6509307265281676,237.22584199905396,1.5815056133270264,87.65386199951172,0.5843590799967447,48.03074264526367,0.3202049509684245,87.65386199951172,0.5843590799967447,48.03074264526367,0.3202049509684245,1780,2488,82,57,0.5466666666666666,0.38,48.03074264526367,87.65386199951172,0.3202049509684245,0.5843590799967447,-79.69515228271484,0.9663664508865747,0.9579478944297444,0.7035690013521378,0.5479592290586264,1.8249532939119628,0.8820227804029426,0.7345956354300385,0.8155426805641338,66.11859025151837,0.44079060167678913,103.39847564697266,0.6893231709798177,48.72206115722656,0.32481374104817706,1823.1589243240617,2514.0718411727585,105.99919128417969,0.17663140016139825,0.01046882073219706,0.00019637479755810883,1.0164432539786568e-05,3.8795352585482155e-10,9.623739912134558e-07,-2.3608798449062474e-10,1.0,0.5063670267138126,0.300687114405672,0.197114694568978,0.13837270907314275
5,4109.5,0.18264444444444444,4252.0,0.18897777777777777,281.66399478912354,1.8777599652608237,263.8922585248947,1.7592817234992981,108.94693756103516,0.7263129170735677,47.773231506347656,0.3184882100423177,108.94693756103516,0.7263129170735677,47.773231506347656,0.3184882100423177,2259,1757,91,82,0.6066666666666667,0.5466666666666666,108.94693756103516,47.773231506347656,0.7263129170735677,0.3184882100423177,-29.357751846313477,0.966486359360301,0.9369044798305365,0.6509328358595111,0.43849999436270287,2.280501739694107,0.9160843354089475,0.5507236665773251,0.7895676363919522,72.33517753547821,0.4822345169031881,117.423095703125,0.7828206380208333,47.08497619628906,0.3138998413085938,2305.8603641967798,1800.0915358721659,55.216915130615234,0.19979502074477604,0.022772526515864606,3.8267908700464137e-05,2.578693340727776e-06,-2.5616283623362648e-11,-3.8310278347302006e-07,-1.322119400243139e-13,1.0,0.49980660639137386,0.3005177624688099,0.2027102889132444,0.147687424148984
6,3811.5,0.1694,3987.5,0.17722222222222223,274.2081503868103,1.8280543359120687,255.32722318172455,1.7021814878781636,103.64028930664062,0.6909352620442708,47.411136627197266,0.3160742441813151,103.64028930664062,0.6909352620442708,47.411136627197266,0.3160742441813151,1752,1826,67,96,0.44666666666666666,0.64,47.411136627197266,103.64028930664062,0.3160742441813151,0.6909352620442708,-23.629377365112305,0.9558620689655173,0.931143814731796,0.6370082682838507,0.457458551538021,2.185990395496818,0.914314826982129,0.5925839552238806,0.7756877632124299,69.66313605313842,0.46442090702092276,115.33218383789062,0.7688812255859375,46.710018157958984,0.3114001210530599,1788.4633346451528,1868.5548559184922,157.91567993164062,0.19481671742185236,0.01940883979859182,0.00036222101777306885,2.8182267867972407e-05,-7.75374250605282e-10,-1.4487445321269041e-06,-2.7401417707116498e-09,1.0,0.4910183426466401,0.28868815790521907,0.18996791723316508,0.13493326689848098
7,3500.5,0.1555777777777778,3645.5,0.16202222222222223,255.4629843235016,1.7030865621566773,242.57628262043,1.6171752174695333,92.27008056640625,0.6151338704427083,48.25619125366211,0.32170794169108075,92.27008056640625,0.6151338704427083,48.25619125366211,0.32170794169108075,1454,3073,77,87,0.5133333333333333,0.58,92.27008056640625,48.25619125366211,0.6151338704427083,0.32170794169108075,-52.69605255126953,0.9602249348511864,0.949555503169286,0.6740373824597817,0.5229885024206997,1.9120879242495952,0.8796048815388308,0.5225406777130915,0.7861694095303526,66.76057988323227,0.44507053255488177,102.30990600585938,0.6820660400390625,48.669334411621094,0.32446222941080727,1489.8397847926485,3117.5264962148262,36.104549407958984,0.18492617604427694,0.013765290684252264,0.0005451293296688352,4.6742963814691144e-05,6.486346704648091e-09,4.773755038154e-06,-3.6905091486167535e-09,1.0,0.4777078678170132,0.27039871724295794,0.1702563173866668,0.11542625525426287
8,4451.5,0.19784444444444443,4716.0,0.2096,314.776692032814,2.09851128021876,288.86790585517883,1.9257860390345256,120.32733917236328,0.8021822611490885,47.28653335571289,0.3152435557047526,120.32733917236328,0.8021822611490885,47.28653335571289,0.3152435557047526,479,1802,105,88,0.7,0.5866666666666667,47.28653335571289,120.32733917236328,0.3152435557047526,0.8021822611490885,-59.826480865478516,0.9439143341815097,0.9176915355126284,0.5645613040116682,0.392982456696538,2.5446428535414305,0.9414724125004195,0.4817640692640693,0.7823563072544757,75.28496419198575,0.501899761279905,137.07708740234375,0.9138472493489583,46.20732116699219,0.3080488077799479,531.1818862555692,1842.131977984949,124.0127944946289,0.21570968102785362,0.030841064432759337,0.0001343581941779099,1.550359714526665e-05,5.938744748222656e-10,2.146124935896244e-06,3.8475957838422904e-10,1.0,0.47666458622409363,0.27660269292085793,0.18092822080260035,0.1279847905429174
9,3115.0,0.13844444444444445,3298.5,0.1466,242.73506259918213,1.618233750661214,228.56398975849152,1.5237599317232768,81.75172424316406,0.5450114949544271,47.712608337402344,0.31808405558268227,81.75172424316406,0.5450114949544271,47.712608337402344,0.31808405558268227,1498,3012,66,89,0.44,0.5933333333333334,81.75172424316406,47.712608337402344,0.5450114949544271,0.31808405558268227,-51.7098388671875,0.9443686524177657,0.9416191765254338,0.6643590988426368,0.5836281592726406,1.7134197247203975,0.8756569025679757,0.5303030303030303,0.7985975448374665,62.97730687993916,0.4198487125329277,97.6192626953125,0.6507950846354167,47.14363479614258,0.3142908986409505,1535.400856072766,3056.6551631888706,31.34150505065918,0.18344333931228757,0.012272802003912358,0.0006570452167676363,5.9583515279655975e-05,9.152010627222489e-09,5.3887727375554415e-06,7.435429982320937e-09,1.0,0.49731591639591416,0.29206537888987516,0.1902362983302085,0.13309901400489718
10,3504.5,0.15575555555555556,3635.0,0.16155555555555556,256.6101713180542,1.7107344754536946,243.016397356987,1.6201093157132467,93.53399658203125,0.6235599772135416,46.24184799194336,0.3082789866129557,93.53399658203125,0.6235599772135416,46.24184799194336,0.3082789866129557,1897,3088,91,52,0.6066666666666667,0.3466666666666667,93.53399658203125,46.24184799194336,0.6235599772135416,0.3082789866129557,-6.519801616668701,0.9640990371389271,0.9470255840162374,0.6687875736201995,0.4943854607066672,2.022713205543332,0.9061858342257277,0.7405959425190194,0.810254386782808,66.79871244660616,0.44532474964404106,108.74544525146484,0.7249696350097656,45.98624038696289,0.30657493591308593,1939.1950349550577,3111.854663052266,77.28939056396484,0.19062832801975588,0.01758952564268935,0.00019390442827616812,2.587296478614662e-05,1.7590521020927726e-09,3.292778140679639e-06,5.143388816586672e-10,1.0,0.4930530231061388,0.2896113574455834,0.18971840605265133,0.13384254180803803
